Nama_Usaha,Alamat_Usaha,Latitude,Longitude
Toko Krupuk Bawang,Jebung Kidul RT. 013 RW. 003,,
Dagang toko eceran,Sumber tengah  binakal,,
Toko peracangan eceran,Sumber tengah,,
PENJUAL KELILING,DESA BOTOLINGGO RT 37 RW 13,,
DAGANG BESI TUA,PJKA BONDOWOWO,,
penjuwal eceran,"desa pelalangan, rt 15 rw 04, kecamatan Wonosari, kabupaten Bondowoso",,
krupuk jaya,mandiri rt02/01,,
TANI MAJU,Dusun Gajas,,
UD PERDANA,Dusun Masjid RT.009 RT.005,,
,Dusun masjid RT.009 RW.005,,
Khoe Creatif Wood,Purnama Rt 10 Rw 05,,
Fafa taylor,Bunduh rt 010 tw 003 bataan tenggarang bondowoso,-7.9175135,113.8428315
PENJUAL PAKAN BURUNG,DUSUN PASAR RT.03 RW.01,,
Desain Optimal,Jl supriyadi Belakang SMAN 3 KAB BONDOWOSO,,
Frozen Food Kampung Arab,"Belakang SMAN 3, Jl. Supriyadi, Kademangan Kulon, Kademangan, Kec. Bondowoso, Kabupaten Bondowoso, Jawa Timur 68217",,
TOKO KELONTONG BU SAHRIMA,Krajan II RT 5 Rw 5 Prajekan Kidul,,
MRK KOPI ( MISTER KARMEN ),"JEMBATAN KIRONGGO, JALAN JENDPOL SUCIPTO YUDODIHARJO",,
BIN HASAN,Jl. Hos Cokroaminoto No. 4 Rt. 002 Rw. 001,,
TOKO JIHAN BATIK JF PARFUM,JL.LETNAN SUDIONO  9,,
Tempe daun,Jalan Panjaitan Tamansari Bondowoso,-7.9227844,113.8197714
Rumah Alza,Jl. MT Haryono nomor 52 RT 015 RW 003 Kota Kulon,,
Warung kopi,Jembatan kironggo,,
UD INSAN ABADI,Jl. KH. Zainul Arifin RT.004/ RW.001,,
UD. HAMDALAH,Sumber pandan RT 02 RW 01 ,,
jual beli keperluan sehari-hari,Penanggungan RT 10 RW 04 Desa Jetis,,
JAYA ABADI,Dusun Krajan RT 001 / Rw 001,,
Online Shop,"Jl. Sersan Atmari Curahpoh RT 05 RW 01 Kecamatan Curahdami, Kabupaten Bondowoso",,
JUAL PULSA TOKEN,Dusun Krajan Timur RT. 010 RW. 002,,
KRIPIK UBI UNGU,Dusun Gajas RT 003 RW 001,,
warung kopi,petung,-7.84624,113.7369977
boutiq jahit,desa pekalangan kecamatan tenggarang kabupaten bondowoso,,
BINTANG JAYA,DUSUN SRATEN II RT.004 RW.002,,
BENGKEL LAS SETIA HATI,KEMBANG,-7.943275,113.7988114
"UD ""PERMATA""",Desa Ramban Kulon Rt 11 Kecamatan Cermee Kabupaten Bondowoso,,
TOKO AL-FAZAA,KRAJAN TAPEN RT.001 RW.001 ,,
TOKO AL-FAZZA,DESA KRAJAN TAPEN RT.001 RW. 001 ,,
UD LIUR MAS,JL.IMAM BONJOL RT.013 RW.003,,
JUAL BELI BATU BATA,DESA JURANGSAPI RT 24 RW 08 ,,
WARUNG ANDIRA,DUSUN KESEMEK RT.012 RW. 006,,
WARUNG ANDIRA ,DUSUN KASEMEK RT.012 RW.006,,
ALFARI MANDIRI,Gentong,-7.8593731,113.9013753
PANGKAS RAMBUT SUMBAWA,"Grujugan Kidul, RT. 17 RW. 03",-7.9700773,113.8249274
""" TOKO DUA PUTRI ""","Desa Kerang Rt.013 Rw,004 Dusun Jatirejo",,
"RUMAH ES ""UMIK""","DUSUN LUMBUNG RT 37,RW 06 DESA BATAAN,KEC TENGGARANG BONDOWOSO",,
kameela (Gamis Syar'i),"Ruko no 2, sebelah gardu PLN, Sumbersalam, tenggarang",,
ASRI,Ds. Mandiro RT.19 RW.06,,
TAHU SUSU,"Bondowoso, Jl. Kh. Agus Salim GG Taman, RT 32 Rw 01 kel. blindungan, Kecamatan Bondowoso",,
PEDAGANG CEMILAN,DUSUN KRAJAN RT.30 RW.06,,
FAJAR MEBEL JAYA,BADEAN RT : 018 / 002,,
Hanggar Colection,jl.Saliwiryo Pranowo no 29 Rw/Rt 026/007,,
pedagang makanan,Jl.RA.Kartini 44 Blindungan Bondowoso,,
Peternakan kelinci,KRAJAN,-8.002702,113.861871
Fajar Bougenville,Jl. Diponegoro v/37 ,,
TOKO SEMBAKO,RT.007 RW.006,,
BARATHA COFFEE LAB,"Jl. Saliwiryo Pranowo No.11, Gg. Taman, Kotakulon, Bondowoso",,
Edo clothing shop,Jl. Pakisan perum bataan permai blok a rt25 rw8 no49,,
Market Player,"Desa Sumber Salam RT.27/08
Kecamatan Tenggarang Kabupaten Bondowoso",,
Isi ulang AIR Dra'i,KRAJAN 1 RT.05/RW.01 SUMBER WRINGIN,,
Budidaya Ikan Lele,Dusun Bunutan RT 44 RW 14,,
F4MILY SERVIS,Perum Kembanh Permai Blok BB 04,,
ROSAND SHOP,Dusun Koarah 13/04,,
Toko Rafa,RT.26 Rw.03 Dusun Cempaka,,
UD. CONDONG TRESNO,Dusun Moncek,,
Driver Online,A YANI GG A,,
"UD. ""KUMPUL TANI""",DESA SUMBER KALONG KECAMATAN WONOSARI,,
ziya bubur,Zainul Arifin no 46,,
UD SUMBER KAYU,"TEMPAT USAHA, ALAT ANGKUT DAN LAIN - LAIN",,
TEMBEL BAN FAOZI,MANGLI RT.016/003,,
Dagang / toko sembako,Jl.Raya Situbondo Perum Klabang,,
Usaha Jahit,Jalan Abd. Wahid 27/6 Kel. Badean Kec. Bondowoso Kab. Bondowoso,,
SUMBER REJEKI,DESA KEMBANG RT 25 RW 04 KECAMTAN TLOGOSARI KABUPATEN BONDOWOSO KODE POS 68272,,
Apotek Zara Farma,"Jl. KH. Asyari, RT 021 RW 004, Kelurahan Kademangan, Bondowoso",,
UD. MAJU JAYA MEBEL,KRAJAN 2,-8.002702,113.861871
FARID TANI,Dusun Karang Malang RT 24 RW 05,,
UD FARID JAYA,Desa Wonosari RT 06 RW 02,,
UD. SINAR BARU,Desa Karanganyar RT. 02 RW. 01,,
TEMPE MADINAH,"JL IMAM BONJOL GG I/41 KELURAHAN KADEMANGAN RT 13,RW 3 KECAMATAN BONDOWOSO",,
UD VARIA TANI,Jl. Jend. Pol. Sucipto Yudodiharjo No.47,,
One kids Farm,jln kh agussalim rt12 rw 03,,
Peternak Ayam Joper,Dsn Sraten Ii RT.02 RW.02 Desa Prajekan Kidul Kec Prajekan,,
UD NANDIQI,DESA JERUK SOKSOK RT.002 RW.001,,
,DESA JERUK SOKSOK RT.002 RW.OO1,,
TOKO YOGA,Los PASAR KITA JEBUNG KIDUL,,
PEDAGANG CILOK,GRUJUGAN LOR RT/RW 011/003,,
TOKO BINTANG,MASKUNING WETAN RT. 013 RW. 002,,
Dua putra,dusun nyiuran RT.12/RW.05 Desa Lombok Wetan,,
Gugun Jaya,"dusun nyiuran RT.12, RW.05, Desa Lombok wetan ",,
WARUNG BAKSO,KRAJAN RT 7 RW 03,,
FARIDA JAMUR,Dusun Plampang Utara RT 15 RW 04,,
FARIDA CELL,PEKALANGAN RT.016/003,,
Dagang Kelontong,Desa Gununganyar Rt. 24 RW. 06 Kecamatan Tapen,,
Toko Sinar Rejeki,Pasar Pujer Desa Maskuning Wetan Rt.20 Rw.03,,
farida sovenir,dusun pal 16,,
Warung Pop Ice dan Jigor,Jendpol. Sucipto Yudodiharjo 16 Rt 029 Rw. 008,,
RIAS PENGANTIN,Dusun Krajan RT. 006 RW. 002,,
PRACANGAN ,LUMBUNG RT.04 RW.01,-7.9378929,113.7997015
TERNAK KAMBING,dusun mengen barat  Rt. 013 RW. 004,,
"TOKo ""DUa N """,DESA KERANG RT.005 RW.003,,
MIABILL,Maskuning Wetan RT 11/ RW 02 Pujer Bondowoso,,
dian olshop,tlogosari rt/rw 019/004,,
TOKO ERFAL PUTRA,DESA SUMBER CANTING RT.005 RW.004,,
Awfa Shop,Desa Taman RT 003 / RW 001 ,,
Farida food,JL.KH AGUS SALIM BLINDUNGAN BONDOWOSO,,
pedagang ikan asin,sumber wringin rt/rw 26/05,,
Pedagang sosis,DESA GENTONG RT.020 RW.008,,
Toko Sembako,Desa Kretek RT 003 RW 001,,
rida olshop,desa pejaten RT 16 RW 04 kecamatan bondowoso,,
TOKO TENANG,Dusun Paceh Rt. 013 Rw. 004,,
,Dusun Paceh Rt. 013 Rw. 004 ,,
PRACANGAN ,MANDIRO RT.12 RW.04,,
CAHAYA TERANG,Bercak Asri,,
Fina jaya ilahi,Dusun Carmi RT/RW. 011/002,,
rukun jaya,dusun krajan ,,
Pabrik Es Krim malika,Desa Lojajar Rt09 Rw05 Kecamatan Tenggarang Kab.Bondowoso,,
Toko Hj. Suprihatin,Jl. Raya Tamanan RT 5 / RW 1,,
Toko Aksesoris,"Prajekan Lor RT2, RW7",,
Warung dan Conter celuler,"Kluncing Barat, Rt/Rw, 017/004",,
TOKO PARISI,Dusun Krajan RT 05 RW 01,,
Jigor ulek,Desa sukosari lor rt 14 rw 06,,
DAGANG,PASAR KITA DESA JEBUNG KIDUL,,
Catering,Prajekan lor rt 01 rw 06,-7.7886452,113.9833799
UD SEJATI,DESA TAMAN RT.069 RW.008,,
FARUQ FARM,Desa Cermee Rt. 026 ,,
DANIAL BESI TUA,Mengok RT. 028 RW. 008,,
Hans Drink ,"Dusun krajan 1, RT 01/RW 01,Des.Sumbersari,Kec.Maesan,Kab.Bondowoso",,
UD TIGA PUTRA,Desa Jetis RT.002 RW.001,,
Jamu dan Obat Tradisional ,"Kademangan, Bondowoso Jawa Timur",-7.9163113,113.8312622
UD TANI JAYA,JL.RAYA SUMBER JAMBE RT.012 RW.004,,
MINA RAHAYU,Desa Dawuhan RT/RW 002/001,,
TOKO BAROKAH,"Dusun Talang Rt.02/01, Desa Sumberpakem, Kecamatan Maesan, Kabupaten Bondowoso",,
,"Dusun Talang, Rt.02/01. Desa Sumber pakem, Kecamatan maesan, Kabupaten Bondowoso.",,
UD FATHNINDALAZ,"Jl. Jend Pol Sucipo yudodihardjo, Blindungan, Bondowoso",,
,"Jl. Situbondo, Pasar Wonosari, Wonosari, Bondowoso",-7.8868878,113.89253
BATU PADAS,BOTOLINGGO RT.38 RW.13,,
BAKERY ROTI,"Desa Alassumur Rt, 025 Rw, 009 Kec. Pujer Kab. Bondowoso.",,
UD. JAYA ABADI,Reces RT.003 RW.001,,
CERMEE INDUSTRI,Desa Bercak Rt. 017,,
TOKO TATA,PADASAN RT 05 RW 02,-7.9428496,113.8795073
ANEKA KUE BASAH FATHOR,SUMBER KALONG RT.005/002,,
Ternak itik,Grujugan rt 01 cermee bondowoso,,
JAYA MAKMUR,BENDOARUM,-7.9174662,113.9221706
TM LOUNDRY,RT 01 RW 01,-7.9134402,113.8222709
PINK STUDIO KAMERA,DSN. KRAJAN I RT : 01,,
JUAL TAHU KELILING,DUSUN DAKON 01 RT 017 RW 004 DESA KEJAWAN,,
BENGKEL TRAKTOR HASAN,PEKALANGAN RT.017 RW. 003,,
Jual sosis,Jl kh agus salim blindungan,-7.9103604,113.8263967
POM MINI FATHOROZI,KASEMEK RT.019 RW.010,,
TOKO FIIFN JAYA,Dusun Lucu RT. 018 / RW. 004,,
perdagangan,jatitamban rt 10 rw 03,-7.8370655,113.776263
KERUPUK CAK FATHOR,PADASAN RT12 RW 05,,
TOKO SULTAN,Dusun Karang Malang RT 08 RW 02,,
Tretan Farm (kebun hidroponik),Lombok wetan rt.009 rw.004,,
CABAI PAK FATHOR,Duun Krajan RT 10 RW 02,,
TAPE MANIS MEKAR MADU,Dusun Andung RT14 RW06,,
Selvi Dwi Elektronik,Dusun Krajan RT/RW. 004/001,,
toko restu ibu,"jl Raya Pasar Maesan Desa Gambangan, Kecamatan Maesan, Kabupaten Bondowoso",,
PEDAGANG SAYUR KELILING,"KEMBANG
RT 016
DESA KEMBANG 
KECMATAN TLOGOSARI",,
ANDIKA TRANS,DUSUN KRAJAN RT 005 RW 002,,
Rida Cell,"Dusun Maradinan, Desa Kejayan, RT 19/RW 05, Kecamatan Pujer Kabupaten Bondowoso",,
Rozi Cell,"Dusun Maradinan, Desa Kejayan RT 19/RW 05, Kecamatan Pujer-Kabupaten Bondowoso",,
Bengkel,Jln kis mangun sarkoro rt7 rw3 tamansari bondowoso,,
SEKAR LUMINTU,Jln.Kh.Ali Sekarputih RT 21 RW 06,,
MINA BAROKAH,"Desa Sumber Tengah, Kecamatan Binakal, Kabupaten Bondowoso",,
Bengkel LAS Elang Putih,Perum tegalasri M 21 007/002 Karang Anyar Tegalampel Bondowoso,,
WARUNG NIKMAT,"Bata Timut, Rt: 031 Rw: 006",,
BAKSO GAMA,MASKUNING KULON RT.008 RW.003,,
KIOS TEMBAKAU FATIMA,MENGOK RT.023 RW.004,,
WARUNG  BERKAH,DUSUN TALPEK RT 14 RW 02 DESA SUMBERSUKO,,
j parfume,"jl. raya situbondo, seraten 1, prajekan kidul",,
QUEEN LATIFAH ,KH.ASHARI 318 RT.021 RW.004 ,,
PENJUAL PECEL,JL. BRIGPOL SUDARLAN RT/RW 003/001,,
AYAM POTONG,KARANGANYAR,-7.8932782,113.8195432
TOKO PRACANGAN + CILOK,DESA GRUJUGAN KIDUL RT 10 RW 2,,
FATIMAH CATERING,JL.A YANI BELAKANG ARKADA RT.008 RW.003,,
Fatimah busana,JURANG SAPI RT 03/RW 01,,
TOKO FATIMAH,PEKALANGAN RT.019! 004,,
SUMBER REJEKI,KADEMANGAN RT.019 RW.004 KELURAHAN KADEMANGAN BONDOWOSO,,
DAPUR AFA,JL . PELITA GANG WALLET RT/RW 018/006,,
Warung Mie Lava,Jln. Raya Tamanan No. 32,,
FATIMAH SHOP,Jl. HOS Cokroaminoto Rt 024 / Rw 004,,
SIRUP HANA,Jl. Raya Pakisan RT.016 RW.005,,
ZAHRO MANDIRI,"Dusun Gunung, RT/RW: 001/001, desa Maskuning Wetan, Pujer, Bondowoso",,
PERDANGAN PERACANGAN,DESA SUKOKERTO RT 10 RW 05 KEAMATAN PUJER KABUPATEN BONDOWOSO PROVINSI JAWA TIMUR INDONESIA,,
,DUSUN AMPELAN RT 10 RW 05 SUKOKERTO PUJER BONDOWOSO,,
PEDAGANG SEMBAKO,PENAMBANGAN,-7.9197593,113.7900889
GORENGAN,"BOTOLINGGO, RT: 020 RW: 008, KECAMATAN BOTOLINGGO KABUPATEN BONDOWOSO",,
ZAIN COLECTION,RT.021 / RW.005,,
WILDAN JAYA,"Sumber salam, tenggarang , bondowoso",,
Warung berkah,"Jalan pelita, gang buntu rt16/rw06",,
TOKO MIRA,DS LUMUTAN RT.061 RW.011,,
BESEK IKAN,Dusun taman curahpoh Rt 07 RW 02,,
WARUNG NASI BU FATMAWATI,dalam Pasar Tradisional Maesan,,
TOKO DONI,Desa Jebung Lor RT 021 TW 003,,
PENJUAL GORENGAN,DUSUN KRAJAN RT 17 RW 03,,
PENJAHIT,MANDIRO RT.01 RW.01,-7.8802838,113.8326099
TOKO SARIFA,JL MT HARYONO 46 RT 15 RW 03,,
WARUNG MBAK FAT,GADINGSARI RT.015 RW.004,,
Warung rujak nenek,Jl kis mangunsarkoro,,
Jual Online makanan,Desa kembang rt 13/05,,
PRACANGAN ,DESA GRUJUGAN KIDUL RT.24 RW.04,,
"UD. "" RIA """,Lunggusari BaratRt.027/Rw.006,,
Industri Tahu,Jl Mastrip RT 19 RW 05,,
TK AL MUHIBBIN,JL. KIS MANGUNSARKORO NO.369,,
Toko Pakaian,Pasar Wringin Bondowoso,,
TABRIZZ PARFUM,Jl imam bonjol gg 1 no 84b,,
NADIFA FURNITUR,TEGALMIJIN RT.13 RW.03,,
FFU.NET,Dusun kebun dara Rt 04/02 sumber anyar jambesari darussolah bondowoso,,
Posen Barbershop,Wringin Rt/Rw 004/007,,
BAKWAN TOMY,Dusun Krajan RT. 001 Rw. 001,,
dagang sapi,"situbondo,bondowoso",-7.8868878,113.89253
Bakwan,Jl kh wahid hasyim rt 33/rw 01,,
Toko peracangan,"Dusun Andung, Rt010/Rw003,Sumber waru",,
SILFINA OLSHOP,desa jebung lor ,,
UD PB PUTRA TUNGGAL,DUSUN KASEMEK RT.014 RW.007,,
TOKO BAROKAH JAYA,Jumpong RT 01 RW 01,-7.9312857,113.8741813
STANDBORNEO,Prajekan kidul rt. 003/rw.003 kec. Prajekan kab. Bondowoso,,
AIFA CATERING,RT 05 RW 02 DESA PEKAUMAN KECAMATAN GRUJUGAN KABUPATEN BONDOWOSO JAWA TIMUR,,
RENTAL PS ( Playstation ),Desa Jurangsapi RT.40 RW. 13  ,,
FebNET,Dusun Krajan Atas RT/RW 002/001,,
SALON ONIX SPA,VILLA KEMBANG ASRI BLOK GB 7 RT/RW 024/006,,
Jual batu dan pasir,Jln. Raya prajekan. Desa walidono Rt 12 Rw 04,,
ZIELVA CATERING,JLN. A. YANI GANG KASURAN 38 NANGKAAN BONDOWOSO JATIM,,
JUAL BAKSO,MANDIRO RT.20 RW.07,,
ANUGERAH JAYA,JL. MT. HARYONO NO. 06 ,-7.9149734,113.8163508
Fendi Cell,Jln KIS MANGUNSARKORO NO 43,,
Jasa Penetasan Telur Bebek,Dusun Krajan RT 006 RW 002,,
Hotta,Jl. S. Parman gg. Prajurit no. 02,,
"DINKA "" PHOTOGRAPHY """,Desa Wonokusumo Rt.009 Rw.004,,
JUAL DAGING SAPI,Desa Taman Rt 062 Rw 007,,
Toko indah,Wonosari grujugan bondowoso,,
BOS ANOM,STADION MAGENDA BONDOWOSO TIMUR SKB,,
ALIF AZZAHRA CATERING,Jl. Diponegoro GG Al-mawaddah RT.012/ RW.003,,
Fengki Ayam potong dan kampung,Mandiro Rt 018 Rw 006,,
Barokah cell,Jln kawah ijen rt1/rw1 reces,,
singkong goreng,JL.PB. Sudirman no.47 Rt.020/Rw.006 Blindungan Bondowoso,,
PENTOL BAKAR IJO,Desa klampokan rt 04 rw 01 klabang bondowoso,,
UD. MAKMUR JAYA,Desa Jebung Lor RT 020 RW 003,,
UD JAYA BETON,JL RAYA KAJAR - LOJAJAR,-7.9295436,113.8454491
TOKO KATAMATA KITA,"Perum.kembang permai blok E no 30
Bondowoso",,
Percangan,"Jl kartini no.41 RT. 25/RW.06 Kelurahan Blindungan, Kecamatan Bondowoso,  Kabupaten Bondowoso",,
"LPK ""WONGSOMAJU""","Jl. A. Yani Perum Artha karya II No.15A
RT. 007 / 003",,
AMRY'S CAKERY,Perum PBI RT.017 RW.05,,
,"Perum PBI, RT.017 RW.05",,
,Perum PBI RT.017 RW.005 ,,
TOKO BILQIS,Dsn.pandigung RT 44 RW 14 Jurangsapi,,
toko,raya mastrip,,
TOKO PERACANGAN,"SUKOWON, PUJER, BONDOWOSO",,
UD RYE,JL DIPONEGORO,-7.9079348,113.8130524
,JL DOIPONEGORO,,
Fery colection,Jln jend pol sucipto yudodiharja gg purbosarino 79,,
